source,target,context
AI API Key,AI API 密钥,
AI Settings,AI 设置,
API key for the selected AI model provider,所选 AI 模型提供商的 API 密钥,
API key is valid,API 密钥有效,
Add Custom Meta Tags,添加自定义元标签,
Advanced,高级,
All the images uploaded to Canvas will be auto converted to WebP for better page performance.,上传到画布的所有图片将自动转换为 WebP，以提升页面性能。,
"An icon file with .ico extension. Should be 16 x 16 px.
You can generate using favicon-generator.org","扩展名为 .ico 的图标文件，应为 16 x 16 像素。
可使用 favicon-generator.org 生成",
"An icon file with .ico extension. Should be 16 x 16 px.<br>You can generate using <a href=""https://favicon-generator.org"" target=""_blank"">favicon-generator.org</a>","扩展名为 .ico 的图标文件，应为 16 x 16 像素。<br>可使用 <a href=""https://favicon-generator.org"" target=""_blank"">favicon-generator.org</a> 生成",
App,应用,
Are you sure you want to replace {0} with {1}?,确定要将 {0} 替换为 {1} 吗？,
Authenticated Access,需登录访问,
Auto convert images to WebP,自动将图片转换为 WebP,
Back to Home,返回首页,
Basic,基础,
Basic Forms,基础表单,
Block,区块,
Blocks,区块,
Body HTML,正文 HTML,
Builder Client Script,Builder 客户端脚本,
Builder Page,Builder 页面,
Builder Project Folder,Builder 项目文件夹,
Builder Script,Builder 脚本,
CSS,CSS,
Canonical URL,规范网址,
Category,分类,
Client Scripts,客户端脚本,
Color,颜色,
Component Data Script,组件数据脚本,
Component ID,组件 ID,
Component Name,组件名称,
Component replaced successfully,组件替换成功,
Component {0} was deleted and will not render,组件 {0} 已删除，将不会渲染,
Content,内容,
Could not import any pages from this template group.,无法从该模板组导入任何页面。,
Could not load the selected template. Please try again.,无法加载所选模板，请重试。,
Dark Value,深色值,
Data,数据,
"Default HTML lang code (e.g., en, es, fr)",默认 HTML 语言代码（例如 en、es、fr）,
Default Language,默认语言,
Description,描述,
Developer Options,开发者选项,
Dimension,尺寸,
Disable Auto Dark Mode,禁用自动深色模式,
Disable Indexing,禁用索引,
Disable automatic dark mode color scheme adjustments for all pages globally.,全局禁用所有页面的自动深色模式配色调整。,
DocType,DocType,
Don't Execute,不执行,
Draft Blocks,草稿区块,
Dynamic Route,动态路由,
Element,元素,
Execute Block Scripts in Editor,在编辑器中执行区块脚本,
Favicon,网站图标,
Folder Name,文件夹名称,
Font File,字体文件,
Font Name,字体名称,
For Web Page,用于网页,
Form parts,表单部件,
Frappe Builder,Frappe Builder,
Global script that will be loaded with every page built with Frappe Builder,将随每个使用 Frappe Builder 构建的页面一起加载的全局脚本,
Global style that will be loaded with every page built with Frappe Builder,将随每个使用 Frappe Builder 构建的页面一起加载的全局样式,
Group,分组,
Head HTML,头部 HTML,
Home Page,首页,
Image,图片,
Image is too large. Please use an image smaller than 5 MB.,图片过大，请使用小于 5 MB 的图片。,
Internal flag: set once the persona onboarding survey has been shown. Site-wide (Builder Settings is a Single) — acceptable proxy for per-user on single-user trial sites.,内部标志：一旦向用户显示过画像引导调查即设置。由于 Builder Settings 为 Single 类型（站点级），在单用户试用站点上可作为按用户的合理代理。,
Invalid block context JSON,无效的区块上下文 JSON,
Invalid image data: must be a base64-encoded data URL,无效的图片数据：必须为 base64 编码的 data URL,
Invalid image data: must be a base64-encoded image data URL,无效的图片数据：必须为 base64 编码的图片 data URL,
Is Standard,是否标准,
Is Template,是否模板,
Is Unique,是否唯一,
JavaScript,JavaScript,
Label,标签,
Landing Page,着陆页,
Language,语言,
"Language code for HTML (e.g., en, es, fr, de). Uses default if unset.",用于 HTML 的语言代码（例如 en、es、fr、de）。未设置时使用默认值。,
Map route parameters into form variables. Example <code>/profile/:user</code>,将路由参数映射到表单变量。示例 <code>/profile/:user</code>,
Media,媒体,
Meta,元信息,
Meta Tags,元标签,
No pages found in this template group.,该模板组中未找到页面。,
Not Found,未找到,
Not used in any page,未被任何页面使用,
Only allow logged-in users to view this page.,仅允许已登录用户查看此页面。,
Open in Builder,在 Builder 中打开,
Options,选项,
Page Data Script,页面数据脚本,
Page Name,页面名称,
Page Preview,页面预览,
Page not found,页面未找到,
Path,路径,
Persona Survey Done,用户画像调查已完成,
Please configure an OpenRouter API key in Settings → AI,请在“设置 → AI”中配置 OpenRouter API 密钥,
Please set an OpenRouter API key,请设置 OpenRouter API 密钥,
Prevent search engines from indexing this page,阻止搜索引擎索引此页面,
Preview,预览,
Preview Height,预览高度,
Preview Image is mandatory,预览图片为必填项,
Preview Width,预览宽度,
Project Folder,项目文件夹,
Public URL,公开网址,
Published,已发布,
Published At,发布于,
Reference Doctype,引用 DocType,
Reference Name,引用名称,
Replace,替换,
Replace Component,替换组件,
Replace With,替换为,
Restrict Click Handlers,限制点击处理器,
Restricted,受限,
Route,路由,
Script,脚本,
Script Public URL,脚本公开网址,
Script Type,脚本类型,
Scripting,脚本编写,
Server-side Python script that populates component data. Receives props as input. Use: data.events = frappe.get_list('Event'),用于填充组件数据的服务端 Python 脚本。接收 props 作为输入。用法：data.events = frappe.get_list('Event'),
Snapshot Type,快照类型,
Snapshot does not belong to this page,快照不属于此页面,
Sort Order,排序顺序,
